name,full_address,postcode,council,town
Raglan Castle,"Raglan Castle, Castle Rd, Raglan NP15 2BT ",NP15 2BT,Monmouthshire,Raglan
"Amelia Trust Farm, Five Mile Lane, Barry, CF62 3AS","Amelia Trust Farm, Five Mile Lane, Barry, CF62 3AS",CF62 3AS,Vale of Glamorgan,Barry
Penarth Town Centre,"Penarth Town Centre, CF11 0SD",CF11 0SD,Vale of Glamorgan,Penarth
Plas Mawr,"Plas Mawr, CF5 3JW",CF5 3JW,Cardiff,Cardiff
Caerleon Roman Fortress and Baths,"Caerleon Roman Fortress and Baths, NP18 1AE",NP18 1AE,Newport,Caerleon
St Davids Bishop's Palace,"St Davids Bishop's Palace, SA62 6PE",SA62 6PE,Pembrokeshire,St. Davids
Beaumaris Castle,"Beaumaris Castle, LL58 8AP",LL58 8AP,Isle of Anglesey,Beaumaris
Conwy Castle,"Conwy Castle, LL32 8AY",LL32 8AY,Conwy,Conwy
Denbigh Castle,"Denbigh Castle, LL16 3NB",LL16 3NB,Denbighshire,Denbigh
Caernarfon Castle,"Caernarfon Castle, LL55 2AY",LL55 2AY,Gwynedd,Caernarfon
Criccieth Castle,"Criccieth Castle, LL52 0DP",LL52 0DP,Gwynedd,Criccieth
Valle Crucis Abbey,"Valle Crucis Abbey, LL20 8DD",LL20 8DD,Denbighshire,Llantysilio
Rhuddlan Castle,"Rhuddlan Castle, LL18 5AD",LL18 5AD,Denbighshire,Rhuddlan
Laugharne Castle,"Laugharne Castle, SA33 4FA",SA33 4FA,Carmarthenshire,Pendine
Kidwelly Castle,"Kidwelly Castle, SA17 5BQ",SA17 5BQ,Carmarthenshire,Kidwelly
The Met| Bryngarw Country Park,"The Met| Bryngarw Country Park, CF32 8UU",CF32 8UU,Bridgend,Garw Valley
National Museum Cardiff                         Fully Booked,"National Museum Cardiff, Cardiff CF10 3NP",CF10 3NP,Cardiff,Cardiff
