link,title,full_date,start_date,end_date,sort_date,month,location,location_search,info,name,favicon,root
https://cadw.gov.wales/brother-thomas-cellarer-1,Brother Thomas The Cellarer,Sat 19 Nov 2022,Sat 19 Nov,,2022-11-19,November,Tintern Abbey,Tintern Abbey,"Step back in time with Brother Thomas and learn what life was like as a monk in Tintern Abbey. Our sympathetic brother will give you inside information about the monks’ rituals and responsibilities. As the cellarer of Tintern Abbey, Brother Thomas (a Cistercian monk) will be able to tell you all there is to know (and perhaps some things you shouldn’t know!) about the workings of the abbey, his fellow monks, the lay brothers and other ‘less religious’ people!",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/christmas-starts-here,Christmas Starts Here!,Sat 19 Nov                             - Sun 20 Nov 2022,Sat 19 Nov,Sun 20 Nov,2022-11-19,November,Raglan Castle,Raglan Castle,Put on your Christmas jumper and get into the festive spirit with us! Seasonal refreshments and a visit from the man himself! Christmas starts here!,Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/late-night-christmas-shopping-harlech,Late Night Christmas Shopping In Harlech,Sat 26 Nov 2022,Sat 26 Nov,,2022-11-26,November,Harlech Castle,Harlech Castle,"Late Night Christmas Shopping in Harlech Christmas story telling in the castle from 1pm-5pm  Candlelight Parade led by Santa at 5.30pm from the castle.  Carollers, Ardudwy Male Voice Choir, Christmas stories and late night shopping to get you in the Christmas spirit.",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/late-night-christmas-shopping,Late Night Christmas Shopping,Wed 30 Nov 2022,Wed 30 Nov,,2022-11-30,November,Chepstow Castle,Chepstow Castle,"Chepstow Castle and Tourist Information Centre are offering some Christmas gift inspiration in our late night shopping event! We have a number of Welsh-produced festive gift ideas and stocking fillers for the whole family: from books to blankets, pottery to Penderyn, jewellery to jigsaws, and much more!",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/seasonal-scents-medieval-christmas-decoration-workshop,Seasonal Scents: Medieval Christmas Decoration Workshop,Sat 03 Dec                             - Sun 04 Dec 2022,Sat 03 Dec,Sun 04 Dec,2022-12-03,December,Chepstow Castle,Chepstow Castle,Come and discover how people celebrated Christmas in Medieval times and the role that scents played. Learn which ingredients were local and which had travelled from afar. Learn their stories while you make a scented decoration to take home. This is a drop-in activity. Suitable for all ages. How to visit,Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/santas-grotto-2,Santa's Grotto,Sat 03 Dec 2022,Sat 03 Dec,,2022-12-03,December,Blaenavon Ironworks,Blaenavon Ironworks,"Come and see Father Christmas or Mrs Christmas in our Victorian grotto at the Ironworks this Christmas - and make unique memories for the whole family!  English and Welsh sessions available: English sessions: 3, 4, 17 December Bilingual sessions: 18 December Father Christmas on 3, 4, 18 December Mrs Christmas on 17 December",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/christmas,Christmas,Sat 17 Dec                             - Fri 23 Dec 2022,Sat 17 Dec,Fri 23 Dec,2022-12-17,December,Caerphilly Castle,Caerphilly Castle,"Grab your gloves, layer up and get ready for the festive season, with a trip to Caerphilly Castle this December! We kick off the festive period with a face painter - on Saturday 17 and Sunday 18; Between 17 and 23 you can write and post your letter to Santa from here; And come and decorate your own Christmas card and take home an origami star for the Christmas tree!  ",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://cadw.gov.wales/reindeer-poo-trail,Reindeer Poo Trail,Tue 27 Dec 2022,Tue 27 Dec,,2022-12-27,December,Chepstow Castle,Chepstow Castle,"After another busy Christmas, Santa’s reindeers have been grazing and pooing (!) in Chepstow Castle! Find the poos and discover what each reindeer ate for Christmas, in this fun family trail. We encourage visitors to bring their own pencil, but one may be purchased in the shop otherwise.  ",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ 
https://www.cardiffcastle.com/events/ice-walk/,The Ice Rink & Ice Walk,15                         Nov                         2022                         -                         08                         Jan                         2023,Tue 15 Nov,Sun 08 Jan,2022-11-15,November,"Cardiff Castle, Castle Street, Cardiff CF10 3RB",Cardiff Castle  Castle Street  Cardiff CF10 3RB,"Cardiff's Winter Wonderland Ice Rink & Ice Walk, the capital’s biggest Winter attraction, is back at Cardiff Castle from 15th Nov – 8th Jan!",Cardiff Caste,https://www.cardiffcastle.com/app/uploads/2020/05/cardiff-castle-logo-small.png,https://www.cardiffcastle.com/ 
https://www.cardiffcastle.com/events/christmas-festival-nutcracker/,Christmas Festival - The Nutcracker,25                         Nov                         2022                         -                         27                         Nov                         2022,Fri 25 Nov,Sun 27 Nov,2022-11-25,November,"The Spiegeltent, Cardiff Castle Grounds, Castle Street, Cardiff, CF10 3RB",The Spiegeltent  Cardiff Castle Grounds  Castle Street  Cardiff  CF10 3RB,"The Nutcracker, this is the Christmas ballet with a Welsh twist, befitting the unique venue in which it is being performed.",Cardiff Caste,https://www.cardiffcastle.com/app/uploads/2020/05/cardiff-castle-logo-small.png,https://www.cardiffcastle.com/ 
