link,title,full_date,print_date,sort_date,month,location,location_search,info,name,favicon,root,max_date,dupl_count,end_date,update_date
http://www.margamcountrypark.co.uk//2128?event_id=36182,'Elf Me' Workshops,Sun 04 Dec 2022,Sun 04 Dec,2022-12-04,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"The ultimate Christmas experience which will transform YOU into a Margam Park Elf! Perfect for budding elves aged 3-12 years old who want to become official little helpers of Father Christmas. Expect fun, laughter, games, arts & crafts. Transform into a certified elf, complete with rosy red cheeks ready for Christmas action! The workshops are in Margam Castle (Drawing Room and Dining Room) and start at 9.15am, 11.30am and 1.45pm on each day of the deer feeds – ticket price includes watching Santa feed the Margam deer feed. -Please arrive 15 minutes before the session starts. -Parking for the 9.15 am session will be to the rear of the Castle (cars will not be able to leave until the Deer feed has finished and the all clear is given - approx 11.30) . -Parking for the 11.30 am and 1.45 pm sessions are in the main car park, disabled parking options are available. -The castle rooms can be chilly so dress up warm! Children £15, Adult £5 (to include a hot drink and a mince pie!).",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,18,Sun 18 Dec,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=36181,'Elf Me' Workshops,Sun 04 Dec 2022,Sun 04 Dec,2022-12-04,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"The ultimate Christmas experience which will transform YOU into a Margam Park Elf! Perfect for budding elves aged 3-12 years old who want to become official little helpers of Father Christmas. Expect fun, laughter, games, arts & crafts. Transform into a certified elf, complete with rosy red cheeks ready for Christmas action! The workshops are in Margam Castle (Drawing Room and Dining Room) and start at 9.15am, 11.30am and 1.45pm on each day of the deer feeds – ticket price includes watching Santa feed the Margam deer feed. -Please arrive 15 minutes before the session starts. -Parking for the 9.15 am session will be to the rear of the Castle (cars will not be able to leave until the Deer feed has finished and the all clear is given - approx 11.30) . -Parking for the 11.30 am and 1.45 pm sessions are in the main car park, disabled parking options are available. -The castle rooms can be chilly so dress up warm! Children £15, Adult £5 (to include a hot drink and a mince pie!).",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,18,Sun 18 Dec,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=36197,Santa Deer Feeds,Sun 04 Dec 2022,Sun 04 Dec,2022-12-04,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Come and see Santa feed the deer at 11am. Dress up for a winter walk in the Park after you have seen him. See Santa feeding his deer at 11.00am. The Deer Feed will start promptly at 11am, please make sure that you arrive at least half an hour before to ensure you are in place on the Castle terrace. Latecomers may not be admitted, the Management reserves the right to refuse admission. Blue Badge Holders—Please arrive prior to 10.30am to ensure access to disabled car parking facilities located at the back of the castle. All dogs to be kept on leads. Following the Deer Feed, visit the Children's Village, Adventure Playground and Farm Trail.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,6,Sun 18 Dec,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=36180,'Elf Me' Workshops,Sun 04 Dec 2022,Sun 04 Dec,2022-12-04,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"The ultimate Christmas experience which will transform YOU into a Margam Park Elf! Perfect for budding elves aged 3-12 years old who want to become official little helpers of Father Christmas. Expect fun, laughter, games, arts & crafts. Transform into a certified elf, complete with rosy red cheeks ready for Christmas action! The workshops are in Margam Castle (Drawing Room and Dining Room) and start at 9.15am, 11.30am and 1.45pm on each day of the deer feeds – ticket price includes watching Santa feed the Margam deer feed. -Please arrive 15 minutes before the session starts. -Parking for the 9.15 am session will be to the rear of the Castle (cars will not be able to leave until the Deer feed has finished and the all clear is given - approx 11.30) . -Parking for the 11.30 am and 1.45 pm sessions are in the main car park, disabled parking options are available. -The castle rooms can be chilly so dress up warm! Children £15, Adult £5 (to include a hot drink and a mince pie!).",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,18,Sun 18 Dec,18 Nov 2022 11:32
https://www.visitthevale.com/events/christmas-fayre-at-st-donats-castle,Christmas Fayre At St Donat's Castle,"December 4, 2022/December 4, 2022",Sun 04 Dec - Sun 04 Dec,2022-12-04,,"Saint Donat's Castle, UWC Atlantic College, CF61 1WF",Saint Donat's Castle  UWC Atlantic College  CF61 1WF,Christmas Fayre returns to St Donat's Castle and welcomes over 60 local craft and street food traders,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com,2022-12-04,1,,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=34284,Luminate,Sun 04 Dec 2022,Sun 04 Dec,2022-12-04,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Following another sell-out year in 2021, Luminate Wales returns to Margam Country Park and Castle in Winter 2022. A spectacular, illuminated trail, full of wonder and intrigue, to delight and enthral your senses. As darkness descends, join us on our enchanting journey, as we weave a captivating light trail through the stunning, historic gardens of Margam Country Park and Castle. Immerse yourself in our mesmerising mile long walk, encapsulating some of your highlights from 2019 & 2020 along with stunning new elements, added to re-amaze you for 2022.  A Timeless experience to be enjoyed by all, young and old alike. The trail is open nightly from Thursday 17th November 2022 until Monday 2nd January 2023 (closed Christmas Day). Tickets must be pre-booked, online in advance.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2023-01-02,44,Mon 02 Jan,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=34285,Luminate,Mon 05 Dec 2022,Mon 05 Dec,2022-12-05,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Following another sell-out year in 2021, Luminate Wales returns to Margam Country Park and Castle in Winter 2022. A spectacular, illuminated trail, full of wonder and intrigue, to delight and enthral your senses. As darkness descends, join us on our enchanting journey, as we weave a captivating light trail through the stunning, historic gardens of Margam Country Park and Castle. Immerse yourself in our mesmerising mile long walk, encapsulating some of your highlights from 2019 & 2020 along with stunning new elements, added to re-amaze you for 2022.  A Timeless experience to be enjoyed by all, young and old alike. The trail is open nightly from Thursday 17th November 2022 until Monday 2nd January 2023 (closed Christmas Day). Tickets must be pre-booked, online in advance.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2023-01-02,44,Mon 02 Jan,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=34286,Luminate,Tue 06 Dec 2022,Tue 06 Dec,2022-12-06,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Following another sell-out year in 2021, Luminate Wales returns to Margam Country Park and Castle in Winter 2022. A spectacular, illuminated trail, full of wonder and intrigue, to delight and enthral your senses. As darkness descends, join us on our enchanting journey, as we weave a captivating light trail through the stunning, historic gardens of Margam Country Park and Castle. Immerse yourself in our mesmerising mile long walk, encapsulating some of your highlights from 2019 & 2020 along with stunning new elements, added to re-amaze you for 2022.  A Timeless experience to be enjoyed by all, young and old alike. The trail is open nightly from Thursday 17th November 2022 until Monday 2nd January 2023 (closed Christmas Day). Tickets must be pre-booked, online in advance.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2023-01-02,44,Mon 02 Jan,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=34287,Luminate,Wed 07 Dec 2022,Wed 07 Dec,2022-12-07,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Following another sell-out year in 2021, Luminate Wales returns to Margam Country Park and Castle in Winter 2022. A spectacular, illuminated trail, full of wonder and intrigue, to delight and enthral your senses. As darkness descends, join us on our enchanting journey, as we weave a captivating light trail through the stunning, historic gardens of Margam Country Park and Castle. Immerse yourself in our mesmerising mile long walk, encapsulating some of your highlights from 2019 & 2020 along with stunning new elements, added to re-amaze you for 2022.  A Timeless experience to be enjoyed by all, young and old alike. The trail is open nightly from Thursday 17th November 2022 until Monday 2nd January 2023 (closed Christmas Day). Tickets must be pre-booked, online in advance.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2023-01-02,44,Mon 02 Jan,18 Nov 2022 11:32
https://www.eventbrite.co.uk/e/festive-cafe-concert-performed-by-students-of-uwc-atlantic-tickets-465716740307,Festive Café Concert - Performed By Students Of Uwc Atlantic,"Wed, 7 Dec 2022, 15:00 GMT",Wed 07 Dec,2022-12-07,,"Saint Donat's, Llantwit Major, CF611WF",Saint Donat's  Llantwit Major  CF611WF,"Join us at our Festive Café Concert at St Donat's Castle, performed by our very own UWC Atlantic students!",UWC Atlantic College,https://www.uwcatlanticexperience.com/wp-content/uploads/2022/02/cropped-UWC-Fav-Icon-U-32x32.png ,https://www.uwcatlanticexperience.com/ ,2022-12-07,1,,18 Nov 2022 11:32
